timestamp,servo_pos,joystick_pos
1683384307,3700,32263
1683384307,3716,32423
1683384307,3713,32391
1683384308,3671,31975
1683384308,3697,32231
1683384308,3714,32407
1683384308,3703,32295
1683384308,3700,32263
1683384309,3709,32359
1683384309,3708,32343
1683384309,3694,32199
1683384309,4241,37721
1683384310,5773,53164
1683384310,7000,65535
1683384310,7000,65535
1683384310,7000,65535
1683384310,5487,50284
1683384311,5560,51020
1683384311,3946,34744
1683384311,3687,32135
1683384311,3676,32023
1683384311,3703,32295
1683384312,3692,32183
1683384312,3709,32359
1683384312,3697,32231
1683384312,3675,32007
1683384313,3687,32135
1683384313,3689,32151
1683384313,5816,53597
1683384313,5827,53709
1683384313,6317,58654
1683384314,5516,50572
1683384314,3671,31975
1683384314,3713,32391
1683384314,3703,32295
1683384314,4811,43466
1683384315,4797,43322
1683384315,5348,48875
1683384315,7000,65535
1683384315,7000,65535
1683384316,7000,65535
1683384316,3700,32263
1683384316,3714,32407
1683384316,3703,32295
1683384316,6157,57037
1683384317,6978,65311
1683384317,7000,65535
1683384317,7000,65535
1683384317,7000,65535
1683384317,3803,33304
1683384318,3754,32808
1683384318,3679,32055
1683384318,3697,32231
1683384318,3705,32311
1683384319,5065,46027
1683384319,5581,51228
1683384319,7000,65535
1683384319,6982,65359
1683384319,7000,65535
1683384320,6973,65263
1683384320,7000,65535
1683384320,7000,65535
1683384320,7000,65535
1683384320,6995,65487
1683384321,6600,61503
1683384321,6075,56205
1683384321,5424,49644
1683384321,4867,44026
1683384322,4471,40041
1683384322,3709,32359
1683384322,3667,31927
1683384322,3703,32295
1683384322,3703,32295
1683384323,3657,31831
1683384323,3705,32311
1683384323,5175,47131
1683384323,5325,48651
1683384323,7000,65535
1683384324,7000,65535
1683384324,7000,65535
1683384324,7000,65535
1683384324,7000,65535
1683384325,7000,65535
1683384325,7000,65535
1683384325,6602,61519
1683384325,5838,53821
1683384325,5644,51868
1683384326,5221,47595
1683384326,4546,40793
1683384326,3692,32183
1683384326,3689,32151
1683384326,3706,32327
1683384327,3670,31959
1683384327,3706,32327
1683384327,3667,31927
1683384327,3663,31895
1683384328,4173,37033
1683384328,5065,46027
1683384328,6430,59790
1683384328,6571,61214
1683384328,6694,62447
1683384329,7000,65535
1683384329,6990,65439
1683384329,7000,65535
1683384329,7000,65535
1683384329,7000,65535
1683384330,7000,65535
1683384330,6414,59630
1683384330,5976,55213
1683384330,5721,52636
1683384331,5567,51084
1683384331,5440,49804
1683384331,4792,43274
1683384331,4527,40601
1683384331,3698,32247
1683384332,3703,32295
1683384332,3702,32279
1683384332,3709,32359
1683384332,3713,32391
1683384332,3713,32391
1683384333,4152,36824
1683384333,4324,38553
1683384333,4954,44906
1683384333,5973,55181
1683384334,6535,60846
1683384334,7000,65535
1683384334,7000,65535
1683384334,7000,65535
1683384334,7000,65535
1683384335,7000,65535
1683384335,7000,65535
1683384335,7000,65535
1683384335,7000,65535
1683384335,6959,65119
1683384336,7000,65535
1683384336,5805,53485
1683384336,5010,45467
1683384336,4725,42602
1683384337,4357,38889
1683384337,3657,31831
1683384337,3673,31991
1683384337,3703,32295
1683384337,3709,32359
1683384338,5800,53437
1683384338,6055,56013
1683384338,6949,65023
1683384338,7000,65535
1683384339,7000,65535
1683384339,7000,65535
1683384339,7000,65535
1683384339,5289,48283
1683384339,3700,32263
1683384340,3700,32263
1683384340,3703,32295
1683384340,3976,35048
1683384340,5267,48059
1683384340,6997,65503
1683384341,6981,65343
1683384341,7000,65535
1683384341,7000,65535
1683384341,7000,65535
1683384342,5016,45531
1683384342,3738,32647
1683384342,3655,31815
1683384342,3708,32343
1683384342,3682,32087
1683384343,4382,39145
1683384343,6533,60830
1683384343,6995,65487
1683384343,6990,65439
1683384343,7000,65535
1683384344,3689,32151
1683384344,3700,32263
1683384344,3690,32167
1683384344,7000,65535
1683384345,6979,65327
1683384345,7000,65535
1683384345,4436,39689
1683384345,3690,32167
1683384345,5094,46315
1683384346,7000,65535
1683384346,7000,65535
1683384346,7000,65535
1683384346,4224,37545
1683384346,3719,32455
1683384347,3716,32423
1683384347,3662,31879
1683384347,3706,32327
1683384347,3694,32199
1683384348,3668,31943
1683384348,3690,32167
1683384348,3679,32055
1683384348,3719,32455
1683384348,3690,32167
1683384349,3668,31943
1683384349,3703,32295
1683384349,3705,32311
1683384349,3692,32183
1683384349,3659,31847
1683384350,3655,31815
1683384350,3657,31831
1683384350,3659,31847
1683384350,3663,31895
1683384351,3662,31879
1683384351,3706,32327
1683384351,3700,32263
1683384351,3703,32295
1683384351,3700,32263
1683384352,3655,31815
1683384352,3681,32071
1683384352,3654,31799
1683384352,3702,32279
1683384352,3708,32343
1683384353,3684,32103
1683384353,3706,32327
1683384353,3708,32343
1683384353,3705,32311
1683384354,3719,32455
1683384354,3708,32343
1683384354,3706,32327
1683384354,3725,32519
1683384354,3682,32087
1683384355,3706,32327
1683384355,3694,32199
1683384355,3708,32343
1683384355,3708,32343
1683384355,3678,32039
1683384356,3706,32327
1683384356,3673,31991
1683384356,3709,32359
1683384356,3665,31911
1683384357,3665,31911
1683384357,3659,31847
1683384357,3700,32263
1683384357,3706,32327
1683384357,3673,31991
1683384358,3717,32439
1683384358,3714,32407
1683384358,3676,32023
1683384358,3663,31895
1683384358,3708,32343
1683384359,3706,32327
1683384359,3708,32343
1683384359,3709,32359
1683384359,3713,32391
1683384360,3703,32295
1683384360,3697,32231
1683384360,3700,32263
1683384360,3668,31943
1683384360,3706,32327
1683384361,3705,32311
1683384361,3714,32407
1683384361,3679,32055
1683384361,3713,32391
1683384361,3671,31975
1683384362,3657,31831
1683384362,3714,32407
1683384362,3695,32215
1683384362,3713,32391
1683384363,3690,32167
1683384363,3660,31863
1683384363,3706,32327
1683384363,3708,32343
1683384363,3703,32295
1683384364,3690,32167
1683384364,3660,31863
1683384364,3706,32327
1683384364,3684,32103
1683384364,3713,32391
1683384365,3676,32023
1683384365,3670,31959
1683384365,3709,32359
1683384365,3668,31943
1683384366,3682,32087
1683384366,3690,32167
1683384366,3713,32391
